amounts,Delivery channel1,Delivery channel2,Income Group labels,Number of Records,Continent label,amounts (copy),Category,Commitments,Continent,Cur Commit,Cur Disburse,Disbursements,Donor,Donor Name,Donor Type,Flow Type,Income Group,Recipient,Recipient Type2,Recipient Type,Region,Sub Category,Td Category,Td Type,Year Index
,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.096185007,0.096185007,Arab Fund (AFESD),Arab Fund (AFESD),03_Multilateral,Grants,LDCs,Mauritania,Bilateral,01_Bilateral,South of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.128,0.128,BADEA,BADEA,03_Multilateral,Grants,LDCs,Benin,Bilateral,01_Bilateral,South of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
0.015,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,0.015,Africa,0.015,0.015,0.015,BADEA,BADEA,03_Multilateral,Grants,LDCs,Senegal,Bilateral,01_Bilateral,South of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
0.11,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,0.11,Africa,0.11,,,Isl.Dev Bank,Isl.Dev Bank,03_Multilateral,Grants,LDCs,Mozambique,Bilateral,01_Bilateral,South of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
1.056338028,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,1.056338028,Africa,1.056338028,0.100328426,0.100328426,Arab Fund (AFESD),Arab Fund (AFESD),03_Multilateral,Grants,LDCs,Sudan,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.187,0.187,BADEA,BADEA,03_Multilateral,Grants,LDCs,Guinea,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.144,0.144,BADEA,BADEA,03_Multilateral,Grants,LDCs,Senegal,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.091,0.091,BADEA,BADEA,03_Multilateral,Grants,LDCs,Togo,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
12.652905,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,12.652905,Africa,12.652905,,,IFAD,IFAD,03_Multilateral,Grants,LDCs,Burkina Faso,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
14.394127,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,14.394127,Africa,14.394127,,,IFAD,IFAD,03_Multilateral,Grants,LDCs,Guinea,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
17.711863,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,17.711863,Africa,17.711863,,,IFAD,IFAD,03_Multilateral,Grants,LDCs,Mali,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
23.210635,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,23.210635,Africa,23.210635,,,IFAD,IFAD,03_Multilateral,Grants,LDCs,Rwanda,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
8.787577,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,8.787577,Africa,8.787577,,,IFAD,IFAD,03_Multilateral,Grants,LDCs,Sierra Leone,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0.1,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,0.1,Africa,0.1,0.05,0.05,OFID,OFID,03_Multilateral,Grants,LDCs,Democratic Republic of the Congo,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,,Africa,,,,OFID,OFID,03_Multilateral,Grants,LDCs,Sierra Leone,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0.1,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,0.1,Africa,0.1,0.06,0.06,OFID,OFID,03_Multilateral,Grants,LDCs,Tanzania,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
