amounts (copy),Recipient,Year Index,amounts,type of Aid
Blue,Myanmar,2013,1211.795678949,commitments
Blue,Morocco,2013,1297.838377277,commitments
Blue,Tanzania,2013,1563.830626401,commitments
Blue,Bangladesh,2013,1690.374515711,commitments
Blue,Egypt,2013,1842.781124868,commitments
Blue,Afghanistan,2013,2267.329607718,commitments
Blue,Turkey,2013,3074.270644275,commitments
Blue,"Bilateral, unspecified",2013,3193.227507058,commitments
Blue,Viet Nam,2013,3625.550538822,commitments
Blue,India,2013,5164.986075594,commitments
