Recipient(s),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,121.72,507.53,204.9,223.8,226.42,212.53,169.63,230.75,164.2,142.86,136.01,410.36,1309.77,1593.67,2311.49,2837.62,2961.67,4964.72,4875.67,6235.4,6471.94,6865.89,6666.89,5262.38,4823.29
Albania,11.05,331.95,409.64,270.68,163.1,180.6,226.55,168.11,268.62,488.15,317.85,268.53,307.42,354.5,299.95,319.14,321.78,307.19,363.27,356.96,364.19,380.98,350.29,269.4,280.05
Algeria,331.65,211.17,372.46,324.47,293.65,293.9,305.04,247.81,419.73,137.83,199.62,198.68,189.96,238.12,316.2,346.61,239.91,394.3,325.05,317.51,198.36,190.65,144.5,200.67,157.67
Angola,265.77,277.08,343.59,289.39,447.07,416.42,459.31,354.66,335.27,387.54,302.21,282.73,414.03,493.73,1144.46,414.57,163.52,247.67,368.82,238.71,236.94,192.75,241.4,282.71,231.28
Anguilla,3.82,6.29,4.76,4.7,6.55,3.36,2.56,2.57,3.05,2.4,3.52,3.54,0.73,3.95,2.69,4.01,4.42,5.27,3.35,1.4,8.27,0.3,5.04,7.63,..
Antigua and Barbuda,4.61,7.23,4.67,3,4.16,2.27,3.87,4.3,9.88,10.74,9.79,8.54,13.47,6.16,1.63,7.79,3.28,7.38,8.75,5.64,19.07,15.35,2.35,1.82,2.08
Argentina,168.74,273.68,263.88,226.24,146.22,142.56,130.78,102.01,79.06,76.56,52.49,145.56,81.52,106.64,91.34,96.18,115.08,101.34,130.58,126.73,121.04,88.7,179.5,32.5,49.19
Armenia,..,2.72,22.45,109.46,191.27,217.59,292.16,166.1,194.2,209.18,215.89,211.63,299.59,253.8,253.41,170.34,215.51,350.02,302.64,525.98,342.27,396.94,271.16,278.96,265.34
Aruba,29.98,24.97,29.98,24.86,18.26,25.8,19.53,25.07,11.26,+AC0-7.38,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,..,0.3,7.43,23.87,149.04,119.54,96.36,184.06,120.25,169.42,139.12,229.76,349.31,300.7,175.76,216.51,206.39,225.21,235.15,231.79,160.14,286.59,284.6,+AC0-73.37,215.18
Bahamas,3.15,2.76,2.7,1.03,0.87,4.26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,137.5,94.7,80.11,111.43,95.79,99.87,132.32,150.28,199.72,61.88,60.43,70.81,61.58,131.77,58.22,..,..,..,..,..,..,..,..,..,..
Bangladesh,2092.76,1880.24,1818.39,1383.26,1742.89,1281.74,1228.07,1012.36,1162.86,1219.43,1172.84,1043.74,906.25,1394.89,1413.85,1318.85,1221.18,1515.24,2070.63,1225.82,1403.93,1492.17,2148.26,2628.88,2417.99
